"radio_id","escuela_id","tiempo_min"
"1","1",133.8
"1","2",133.8
"1","3",134.9
"1","4",134.9
"1","5",134.9
"1","6",147.9
"1","7",147.9
"1","8",147.9
"1","9",147.9
"1","10",147.9
"1","11",147.9
"1","12",147.9
"1","13",147.9
"1","14",146.9
"1","15",146.9
"1","16",146.9
"1","17",7.6
"1","18",7.6
"1","19",7.6
"1","20",11.6
"1","21",11.6
"1","22",4
"1","23",17.7
"1","24",17.7
"1","25",17.7
"1","26",17.7
"1","27",2.7
"1","28",8
"1","29",6.6
"1","30",6.6
"1","31",235
"1","32",6.9
"1","33",6.9
"1","34",15.2
"1","35",7.9
"1","36",148
"1","37",225.3
"1","38",148.2
"1","39",148.2
"1","40",238.8
"1","41",226.5
"1","42",8.4
"1","43",7
"1","44",237.2
"1","45",11.6
"1","46",9.1
"1","47",228.2
"1","48",7.4
"1","49",7.4
"1","50",7.4
"1","51",14.7
"1","52",14.7
"1","53",232.5
"1","54",240.9
"1","55",240.9
"1","56",240.9
"1","57",240.9
"1","58",240.9
"1","59",240.9
"1","60",240.9
"1","61",240.9
"1","62",240.9
"1","63",240.9
"1","64",240.9
"1","65",240.9
"1","66",240.9
"1","67",8.2
"1","68",225
"1","69",139.1
"1","70",139.1
"1","71",234
"1","72",142.1
"1","73",146.5
"1","74",4.7
"2","1",133.9
"2","2",133.9
"2","3",135
"2","4",135
"2","5",135
"2","6",148.1
"2","7",148.1
"2","8",148.1
"2","9",148.1
"2","10",148.1
"2","11",148.1
"2","12",148.1
"2","13",148.1
"2","14",147
"2","15",147
"2","16",147
"2","17",11.9
"2","18",11.9
"2","19",11.9
"2","20",5.3
"2","21",5.3
"2","22",8.3
"2","23",12.3
"2","24",12.3
"2","25",12.3
"2","26",12.3
"2","27",7
"2","28",12.3
"2","29",9.6
"2","30",9.6
"2","31",238
"2","32",1.4
"2","33",1.4
"2","34",9.7
"2","35",8.3
"2","36",148.2
"2","37",228.3
"2","38",148.3
"2","39",148.3
"2","40",241.9
"2","41",229.6
"2","42",3
"2","43",1.6
"2","44",240.2
"2","45",6.9
"2","46",13.1
"2","47",231.3
"2","48",2
"2","49",2
"2","50",2
"2","51",14.8
"2","52",14.8
"2","53",235.5
"2","54",244
"2","55",244
"2","56",244
"2","57",244
"2","58",244
"2","59",244
"2","60",244
"2","61",244
"2","62",244
"2","63",244
"2","64",244
"2","65",244
"2","66",244
"2","67",2.8
"2","68",228
"2","69",139.3
"2","70",139.3
"2","71",237
"2","72",142.2
"2","73",146.7
"2","74",5.4
"3","1",133.9
"3","2",133.9
"3","3",135
"3","4",135
"3","5",135
"3","6",148.1
"3","7",148.1
"3","8",148.1
"3","9",148.1
"3","10",148.1
"3","11",148.1
"3","12",148.1
"3","13",148.1
"3","14",147
"3","15",147
"3","16",147
"3","17",11.9
"3","18",11.9
"3","19",11.9
"3","20",5.3
"3","21",5.3
"3","22",8.3
"3","23",12.3
"3","24",12.3
"3","25",12.3
"3","26",12.3
"3","27",7
"3","28",12.3
"3","29",9.6
"3","30",9.6
"3","31",238
"3","32",1.4
"3","33",1.4
"3","34",9.7
"3","35",8.3
"3","36",148.2
"3","37",228.3
"3","38",148.3
"3","39",148.3
"3","40",241.9
"3","41",229.6
"3","42",3
"3","43",1.6
"3","44",240.2
"3","45",6.9
"3","46",13.1
"3","47",231.3
"3","48",2
"3","49",2
"3","50",2
"3","51",14.8
"3","52",14.8
"3","53",235.5
"3","54",244
"3","55",244
"3","56",244
"3","57",244
"3","58",244
"3","59",244
"3","60",244
"3","61",244
"3","62",244
"3","63",244
"3","64",244
"3","65",244
"3","66",244
"3","67",2.8
"3","68",228
"3","69",139.3
"3","70",139.3
"3","71",237
"3","72",142.2
"3","73",146.7
"3","74",5.4
"4","1",133.9
"4","2",133.9
"4","3",135
"4","4",135
"4","5",135
"4","6",148.1
"4","7",148.1
"4","8",148.1
"4","9",148.1
"4","10",148.1
"4","11",148.1
"4","12",148.1
"4","13",148.1
"4","14",147
"4","15",147
"4","16",147
"4","17",11.9
"4","18",11.9
"4","19",11.9
"4","20",5.3
"4","21",5.3
"4","22",8.3
"4","23",12.3
"4","24",12.3
"4","25",12.3
"4","26",12.3
"4","27",7
"4","28",12.3
"4","29",9.6
"4","30",9.6
"4","31",238
"4","32",1.4
"4","33",1.4
"4","34",9.7
"4","35",8.3
"4","36",148.2
"4","37",228.3
"4","38",148.3
"4","39",148.3
"4","40",241.9
"4","41",229.6
"4","42",3
"4","43",1.6
"4","44",240.2
"4","45",6.9
"4","46",13.1
"4","47",231.3
"4","48",2
"4","49",2
"4","50",2
"4","51",14.8
"4","52",14.8
"4","53",235.5
"4","54",244
"4","55",244
"4","56",244
"4","57",244
"4","58",244
"4","59",244
"4","60",244
"4","61",244
"4","62",244
"4","63",244
"4","64",244
"4","65",244
"4","66",244
"4","67",2.8
"4","68",228
"4","69",139.3
"4","70",139.3
"4","71",237
"4","72",142.2
"4","73",146.7
"4","74",5.4
"5","1",122.7
"5","2",122.7
"5","3",123.8
"5","4",123.8
"5","5",123.8
"5","6",136.9
"5","7",136.9
"5","8",136.9
"5","9",136.9
"5","10",136.9
"5","11",136.9
"5","12",136.9
"5","13",136.9
"5","14",135.8
"5","15",135.8
"5","16",135.8
"5","17",24.4
"5","18",24.4
"5","19",24.4
"5","20",16.5
"5","21",16.5
"5","22",21
"5","23",4
"5","24",4
"5","25",4
"5","26",4
"5","27",19.6
"5","28",25.2
"5","29",10.4
"5","30",10.4
"5","31",232.9
"5","32",14.9
"5","33",14.9
"5","34",8.6
"5","35",10.4
"5","36",137
"5","37",223.1
"5","38",137.1
"5","39",137.1
"5","40",236.7
"5","41",224.4
"5","42",17.6
"5","43",16.2
"5","44",235
"5","45",19.2
"5","46",17.1
"5","47",226.1
"5","48",16.6
"5","49",16.6
"5","50",16.6
"5","51",2.7
"5","52",2.7
"5","53",230.3
"5","54",238.8
"5","55",238.8
"5","56",238.8
"5","57",238.8
"5","58",238.8
"5","59",238.8
"5","60",238.8
"5","61",238.8
"5","62",238.8
"5","63",238.8
"5","64",238.8
"5","65",238.8
"5","66",238.8
"5","67",17.5
"5","68",222.8
"5","69",128.1
"5","70",128.1
"5","71",231.9
"5","72",131
"5","73",135.4
"5","74",13.1
"6","1",122.7
"6","2",122.7
"6","3",123.8
"6","4",123.8
"6","5",123.8
"6","6",136.9
"6","7",136.9
"6","8",136.9
"6","9",136.9
